,Budget_Year-Month,Finance_Minister,Sentance,Polarity,sentiment,Sector,Topic
51,2013-2014 Month-02,P. Chidambaram,this and perhap next too have find over usd billion the cad,0.0,Neutral,Others,growth
52,2013-2014 Month-02,P. Chidambaram,there are three way befor fdi fii extern commerci borrow ecb,0.0,Neutral,Others,invest
53,2013-2014 Month-02,P. Chidambaram,that whi have been pain state over and over again that the present junctur doe not have the choic between welcom and spurn foreign invest,-0.5106,Negative,Others,growth
54,2013-2014 Month-02,P. Chidambaram,may frank foreign invest imper,0.0,Neutral,Others,growth
55,2013-2014 Month-02,P. Chidambaram,what can encourag foreign invest that consist with our econom object,0.0,Neutral,Others,agricultur
57,2013-2014 Month-02,P. Chidambaram,final the develop must sustain econom and ecolog,0.0,Neutral,Others,set
58,2013-2014 Month-02,P. Chidambaram,the develop model must have democrat legitimaci and approv,0.0,Neutral,Others,agricultur
60,2013-2014 Month-02,P. Chidambaram,loom larg over our effort stimul growth inflat,0.1779,Positive,Agriculture,provid
61,2013-2014 Month-02,P. Chidambaram,some inflat import,0.0,Neutral,Others,growth
62,2013-2014 Month-02,P. Chidambaram,suppli demand mismatch for exampl oil and pul also push inflat,-0.128,Negative,Others,growth
63,2013-2014 Month-02,P. Chidambaram,aggreg demand anoth caus inflat,-0.128,Negative,Others,provid
64,2013-2014 Month-02,P. Chidambaram,the battl against inflat must fought all front,-0.3182,Negative,Others,growth
65,2013-2014 Month-02,P. Chidambaram,our effort the past few month have brought down headlin wpi inflat about and core inflat about,0.0,Neutral,Others,growth
66,2013-2014 Month-02,P. Chidambaram,food inflat that worri and shall take all possibl step augment the suppli side meet the grow demand for food item,-0.128,Negative,Agriculture,growth
68,2013-2014 Month-02,P. Chidambaram,expenditur boost aggreg demand and has both good and bad consequ,0.1531,Positive,Others,growth
69,2013-2014 Month-02,P. Chidambaram,wisdom lie find the correct level expenditur,0.5267,Positive,Others,develop
70,2013-2014 Month-02,P. Chidambaram,the for 201213 the plan expenditur was too ambiti and the nonplan expenditur was too conserv,0.0,Neutral,Others,growth
71,2013-2014 Month-02,P. Chidambaram,face with huge deficit had choic but rationali expenditur,-0.0516,Negative,Others,custom
72,2013-2014 Month-02,P. Chidambaram,took dose bitter medicin,-0.4215,Negative,Others,provid
73,2013-2014 Month-02,P. Chidambaram,seem work,0.0,Neutral,Others,provid
74,2013-2014 Month-02,P. Chidambaram,also took some polici deci that had been defer for too long correct some price and undertook review certain tax polici,-0.0258,Neutral,Others,bank
75,2013-2014 Month-02,P. Chidambaram,have retriev some econom space,0.0,Neutral,Others,bank
76,2013-2014 Month-02,P. Chidambaram,outlin our plan and prioriti honbl member will find that have use that econom space advantag and advanc the upa socioeconom object,0.0,Neutral,Others,custom
78,2013-2014 Month-02,P. Chidambaram,the plan and budgetari alloc,0.0,Neutral,Agriculture,tax
79,2013-2014 Month-02,P. Chidambaram,the 12th five plan began 201213,0.0,Neutral,Others,tax
80,2013-2014 Month-02,P. Chidambaram,anticip global and domest recoveri total expenditur had been fix 1490925,0.0,Neutral,Others,tax
81,2013-2014 Month-02,P. Chidambaram,due the slowdown and the auster measur the revi 1430825 the,0.0,Neutral,Others,servic
82,2013-2014 Month-02,P. Chidambaram,the econom space that have gain has given the confid more ambiti 201314,0.5267,Positive,Others,bank
83,2013-2014 Month-02,P. Chidambaram,have been abl set the total expenditur 1665297 and plan expenditur 555322,0.0,Neutral,Others,provid
84,2013-2014 Month-02,P. Chidambaram,honbl member will happi know that plan expenditur 201314 will 294 more than the revi the current,0.0,Neutral,Others,provid
85,2013-2014 Month-02,P. Chidambaram,all flagship programm have been fulli and adequ fund,0.1027,Positive,Others,scheme
86,2013-2014 Month-02,P. Chidambaram,dare say have provid suffici fund each ministri depart consist with their capac spend the fund,0.0,Neutral,Others,provid
87,2013-2014 Month-02,P. Chidambaram,now over the ministri and depart deliv the outcom through good prudent cash manag close monitor and time implement,0.4404,Positive,Others,bank
89,2013-2014 Month-02,P. Chidambaram,madam the one side econom polici,0.0,Neutral,Others,provid
90,2013-2014 Month-02,P. Chidambaram,the other side econom welfar,0.0,Neutral,Others,provid
91,2013-2014 Month-02,P. Chidambaram,are develop countri,0.0,Neutral,Others,scheme
92,2013-2014 Month-02,P. Chidambaram,the link between polici and welfar can express few word opportun educ skill job and incom,0.0,Neutral,Others,bank
93,2013-2014 Month-02,P. Chidambaram,everi mother understand this,0.0,Neutral,Others,increa
94,2013-2014 Month-02,P. Chidambaram,everi young man and woman understand this,0.0,Neutral,Others,provid
95,2013-2014 Month-02,P. Chidambaram,for 201314 has befor one overarch goal creat opportun for our youth acquir educ and skill that will get them decent job selfemploy that will bring them adequ incom that will enabl them live with their famili safe and secur environ,0.4404,Positive,Others,provid
96,2013-2014 Month-02,P. Chidambaram,women and children,0.0,Neutral,Others,provid
97,2013-2014 Month-02,P. Chidambaram,let assur honbl member that their concern are concern too,0.0,Neutral,Others,scheme
98,2013-2014 Month-02,P. Chidambaram,know their concern for the welfar and progress the schedul cast and the schedul tribe for whom the has sub plan,0.4215,Positive,Others,provid
99,2013-2014 Month-02,P. Chidambaram,also know their concern that adequ fund must provid for programm that benefit women children and the minor,0.4588,Positive,Others,servic
100,2013-2014 Month-02,P. Chidambaram,have tri meet these concern fulli possibl,0.0,Neutral,Others,agricultur
101,2013-2014 Month-02,P. Chidambaram,alloc 41561 the schedul cast sub plan and 24598 the tribal sub plan,0.0,Neutral,Others,provid
102,2013-2014 Month-02,P. Chidambaram,the total repr increa 125 over the and over the the current,0.0,Neutral,Others,provid
103,2013-2014 Month-02,P. Chidambaram,reiter the rule that the fund alloc the sub plan can not divert and must spent for the purpo the sub plan,0.0,Neutral,Others,agricultur
105,2013-2014 Month-02,P. Chidambaram,have made suffici alloc programm relat women and children,0.0,Neutral,Others,agricultur
106,2013-2014 Month-02,P. Chidambaram,honbl member will find from the document that the gender has 97134 and the child has 77236 201314,0.0,Neutral,Others,provid
108,2013-2014 Month-02,P. Chidambaram,women belong the most vulner group includ singl women and widow must abl live with selfesteem and digniti,0.0,Neutral,Agriculture,provid
109,2013-2014 Month-02,P. Chidambaram,young women face gender discrimin everywh especi the work place,0.0,Neutral,Others,bank
110,2013-2014 Month-02,P. Chidambaram,ministri women and child develop has been ask design scheme that will address these concern,0.0,Neutral,Others,tax
111,2013-2014 Month-02,P. Chidambaram,provid addit 200 that ministri begin work this regard,0.0,Neutral,Others,invest
112,2013-2014 Month-02,P. Chidambaram,minor,0.0,Neutral,Others,invest
113,2013-2014 Month-02,P. Chidambaram,have alloc 3511 the ministri minor affair,0.0,Neutral,Others,provid
114,2013-2014 Month-02,P. Chidambaram,this increa over the and over the 201213,0.0,Neutral,Others,invest
116,2013-2014 Month-02,P. Chidambaram,the maulana azad educ foundat the main vehicl implement educ scheme and channel fund nongovern organi for the minor,0.0,Neutral,Others,invest
117,2013-2014 Month-02,P. Chidambaram,corpus stand 750,0.0,Neutral,Others,provid
118,2013-2014 Month-02,P. Chidambaram,with the object rai 1500 dure the 12th plan period alloc 160 the corpus fund,0.0,Neutral,Others,custom
119,2013-2014 Month-02,P. Chidambaram,the foundat wish add medic aid object,0.4019,Positive,Others,growth
120,2013-2014 Month-02,P. Chidambaram,have accept that begin can made provid medic facil such infirmari resid doctor the educ institut run fund the foundat,0.3818,Positive,Others,invest
121,2013-2014 Month-02,P. Chidambaram,alloc 100 launch this initi,0.0,Neutral,Others,develop
122,2013-2014 Month-02,P. Chidambaram,disabl person,0.0,Neutral,Others,bank
123,2013-2014 Month-02,P. Chidambaram,commit provid support person with disabl,0.5994,Positive,Others,develop
124,2013-2014 Month-02,P. Chidambaram,alloc 110 the depart disabl affair for the adip scheme 201314 against the the current,0.0,Neutral,Others,growth
125,2013-2014 Month-02,P. Chidambaram,health and educ,0.0,Neutral,Others,develop
126,2013-2014 Month-02,P. Chidambaram,health for all and educ for all remain our prioriti,0.0,Neutral,Others,bank
128,2013-2014 Month-02,P. Chidambaram,alloc 37330 the ministri health and famili welfar,0.0,Neutral,Others,bank
129,2013-2014 Month-02,P. Chidambaram,this the new health mission that combin the rural mission and the urban mission will get 21239 increa 243 over the,0.0,Neutral,Others,bank
131,2013-2014 Month-02,P. Chidambaram,provid 4727 for medic educ train and research,0.0,Neutral,Others,bank
133,2013-2014 Month-02,P. Chidambaram,the programm for the health care elder implement 100 select district state,0.4939,Positive,Social,bank
134,2013-2014 Month-02,P. Chidambaram,eight region geriatr centr are fund for the develop dedic geriatr depart,0.0,Neutral,Others,provid
135,2013-2014 Month-02,P. Chidambaram,provid 150 for this programm,0.0,Neutral,Others,bank
137,2013-2014 Month-02,P. Chidambaram,ayurveda unani siddha and homoeopathi are mainstream through the health mission,0.0,Neutral,Others,bank
138,2013-2014 Month-02,P. Chidambaram,alloc 1069 the depart ayush,0.0,Neutral,Others,bank
140,2013-2014 Month-02,P. Chidambaram,the six aiimslik institut have admit their first batch student the academ session that commenc septemb 2012,0.2023,Positive,Others,increa
141,2013-2014 Month-02,P. Chidambaram,the hospit attach the colleg will function 201314,0.0,Neutral,Others,invest
142,2013-2014 Month-02,P. Chidambaram,provid 1650 for these institut,0.0,Neutral,Others,invest
144,2013-2014 Month-02,P. Chidambaram,educ the other high prioriti,0.0,Neutral,Others,provid
145,2013-2014 Month-02,P. Chidambaram,alloc 65867 the ministri human resourc develop which increa over the the previous,0.0,Neutral,Others,growth
146,2013-2014 Month-02,P. Chidambaram,the sarva shiksha abhiyan ssa and the right educ act are firm place,0.0,Neutral,Others,agricultur
147,2013-2014 Month-02,P. Chidambaram,provid 27258 for ssa 201314,0.0,Neutral,Others,agricultur
149,2013-2014 Month-02,P. Chidambaram,invest the rashtriya madhyamik shiksha abhiyan rmsa can not postpon ani longer,0.0,Neutral,Others,invest
150,2013-2014 Month-02,P. Chidambaram,henc provid 3983 for rmsa which increa 256 over the the current,0.0,Neutral,Others,growth
152,2013-2014 Month-02,P. Chidambaram,honbl member will happi know that thousand scholarship will given student belong schedul cast schedul tribe other backward class and minor and girl children 201314,0.0,Neutral,Others,agricultur
153,2013-2014 Month-02,P. Chidambaram,alloc 5284 the various ministri for the purpo compar 4575 the the current,0.0,Neutral,Others,agricultur
155,2013-2014 Month-02,P. Chidambaram,the midday meal scheme mdm will provid 13215,0.0,Neutral,Others,provid
157,2013-2014 Month-02,P. Chidambaram,the reconstruct the nalanda univ has gather momentum,0.0,Neutral,Others,provid
158,2013-2014 Month-02,P. Chidambaram,the commit the creation nalanda univ centr educ excel,0.743,Positive,Others,set
159,2013-2014 Month-02,P. Chidambaram,icd,0.0,Neutral,Others,provid
160,2013-2014 Month-02,P. Chidambaram,commend the icd for abl spend the entir amount 15850 provid 201213,0.4404,Positive,Others,provid
161,2013-2014 Month-02,P. Chidambaram,recognit the need children alloc 17700 201314 repr increa 117,0.0,Neutral,Others,agricultur
162,2013-2014 Month-02,P. Chidambaram,the focus will continu ear childhood care and educ,0.4939,Positive,Others,provid
164,2013-2014 Month-02,P. Chidambaram,matern and child malnutrit countri with abund foodgrain shame that must overcom,-0.4767,Negative,Others,provid
165,2013-2014 Month-02,P. Chidambaram,multisector programm that was announc last will implement 100 district dure 201314 and will scale cover 200 district the after,0.0,Neutral,Others,agricultur
166,2013-2014 Month-02,P. Chidambaram,alloc 300 for the programm 201314,0.0,Neutral,Others,bank
167,2013-2014 Month-02,P. Chidambaram,drink water,0.0,Neutral,Others,scheme
168,2013-2014 Month-02,P. Chidambaram,clean drink water and sanit have number benefici extern,0.4588,Positive,Others,custom
169,2013-2014 Month-02,P. Chidambaram,alloc 15260 the ministri drink water and sanit against the 13000 the current,0.0,Neutral,Others,agricultur
171,2013-2014 Month-02,P. Chidambaram,there are still 2000 arsenic and 12000 fluorideaffect rural habit the countri,0.0,Neutral,Others,provid
172,2013-2014 Month-02,P. Chidambaram,provid 1400 toward set water purif plant,0.0,Neutral,Others,scheme
173,2013-2014 Month-02,P. Chidambaram,rural develop,0.0,Neutral,Others,agricultur
174,2013-2014 Month-02,P. Chidambaram,the ministri rural develop steer number flagship programm,0.1779,Positive,Others,agricultur
175,2013-2014 Month-02,P. Chidambaram,that they will abl spend 55000 befor the end the current and alloc 80194 201314 mark increa,0.0,Neutral,Others,agricultur
176,2013-2014 Month-02,P. Chidambaram,mgnreg will get 33000 pmgsi will get 21700 and iay will get 15184,0.0,Neutral,Others,agricultur
178,2013-2014 Month-02,P. Chidambaram,the object pmgsi have been substanti fulfil sever state,0.0,Neutral,Others,develop
179,2013-2014 Month-02,P. Chidambaram,natur these state wish more,0.4019,Positive,Others,set
180,2013-2014 Month-02,P. Chidambaram,henc carv out pmgsyii and alloc portion the fund the new programm that will benefit state such andhra pradesh haryana karnataka maharashtra punjab and rajasthan,0.4588,Positive,Others,agricultur
181,2013-2014 Month-02,P. Chidambaram,detail pmgsyii will announc the minist rural develop due cour,0.0,Neutral,Others,invest
182,2013-2014 Month-02,P. Chidambaram,jnnurm,0.0,Neutral,Others,invest
183,2013-2014 Month-02,P. Chidambaram,the jawaharl nehru urban renew mission jnnurm continu the 12th plan,0.0,Neutral,Others,develop
184,2013-2014 Month-02,P. Chidambaram,the 14000 buse sanction dure 2009 2012 have made big contribut urban transport,0.0,Neutral,Others,develop
185,2013-2014 Month-02,P. Chidambaram,provid 14873 for jnnurm against the 7383 the current,0.0,Neutral,Others,develop
186,2013-2014 Month-02,P. Chidambaram,out this signif portion will use support the purcha upto 10000 buse especi the hill state,0.4019,Positive,Others,provid
187,2013-2014 Month-02,P. Chidambaram,iii,0.0,Neutral,Others,bank
188,2013-2014 Month-02,P. Chidambaram,agricultur,0.0,Neutral,Others,provid
189,2013-2014 Month-02,P. Chidambaram,thank our hard work farmer agricultur continu perform veri well,0.4939,Positive,Others,invest
190,2013-2014 Month-02,P. Chidambaram,the averag annual growth agricultur and alli dure the 11th plan was against and respect the 9th and 10th plan,0.6908,Positive,Agriculture,provid
191,2013-2014 Month-02,P. Chidambaram,201213 total foodgrain product will over 250 million tonn,0.0,Neutral,Agriculture,increa
192,2013-2014 Month-02,P. Chidambaram,minimum support price everi agricultur produc under the procur programm has been increa signif under the upa,0.4019,Positive,Others,develop
193,2013-2014 Month-02,P. Chidambaram,farmer have respond the price signal and produc more,0.0,Neutral,Others,invest
194,2013-2014 Month-02,P. Chidambaram,agricultur export from april decemb 2012 have cross 138403,0.0,Neutral,Others,invest
196,2013-2014 Month-02,P. Chidambaram,alloc 27049 the ministri agricultur increa over the the current,0.0,Neutral,Others,growth
197,2013-2014 Month-02,P. Chidambaram,this agricultur research will provid 3415,0.0,Neutral,Others,bank
198,2013-2014 Month-02,P. Chidambaram,agricultur credit,0.3818,Positive,Others,provid
199,2013-2014 Month-02,P. Chidambaram,agricultur credit the driver agricultur product,0.3818,Positive,Agriculture,scheme
200,2013-2014 Month-02,P. Chidambaram,will exceed the target 575000 fix for 201213,0.0,Neutral,Others,provid
201,2013-2014 Month-02,P. Chidambaram,for 201314 increa the target 700000,0.0,Neutral,Others,provid
203,2013-2014 Month-02,P. Chidambaram,the interest subvent scheme for shortterm crop loan will continu and farmer who repay the loan time will abl get credit per annum,0.6808,Positive,Others,growth
204,2013-2014 Month-02,P. Chidambaram,far the scheme has been appli loan extend public bank rrbs and cooper bank,0.1779,Positive,Others,hous
205,2013-2014 Month-02,P. Chidambaram,extend the scheme crop loan borrow from privat schedul commerci bank respect loan given within the servic area the branch concern,0.5859,Positive,Others,provid
206,2013-2014 Month-02,P. Chidambaram,green revolut,0.0,Neutral,Others,provid
207,2013-2014 Month-02,P. Chidambaram,bring the green revolut eastern has been remark success,0.5719,Positive,Others,provid
208,2013-2014 Month-02,P. Chidambaram,assam bihar chhattisgarh and west bengal have increa their contribut rice product,0.0,Neutral,Agriculture,increa
209,2013-2014 Month-02,P. Chidambaram,continu support the eastern indian state with alloc 1000 201314,0.4019,Positive,Others,set
211,2013-2014 Month-02,P. Chidambaram,the origin green revolut state face the problem stagnat yield and overexploit water resourc,-0.4019,Negative,Others,provid
212,2013-2014 Month-02,P. Chidambaram,the answer lie crop diversif,0.0,Neutral,Others,set
213,2013-2014 Month-02,P. Chidambaram,alloc 500 start programm crop diversif that would promot technolog innov and encourag farmer choo crop altern,0.0,Neutral,Others,increa
215,2013-2014 Month-02,P. Chidambaram,the rashtriya krishi vika yojana intend mobili higher invest agricultur and the food secur mission intend bridg yield gap,0.0,Neutral,Others,set
216,2013-2014 Month-02,P. Chidambaram,provid 9954 and 2250 respect for these two programm,0.4767,Positive,Others,custom
218,2013-2014 Month-02,P. Chidambaram,small and margin farmer are vulner everywh and especi drought prone and ecologicallystress region,0.0,Neutral,Others,fund
219,2013-2014 Month-02,P. Chidambaram,watersh manag crucial improv product land and water use,0.0,Neutral,Agriculture,provid
220,2013-2014 Month-02,P. Chidambaram,increa the alloc for the integr watersh programm from 3050 201213 5387,0.0,Neutral,Others,develop
222,2013-2014 Month-02,P. Chidambaram,emin agricultur scientist have suggest that start pilot programm nutrifarm for introduc new crop varieti that are rich micronutri such ironrich bajra proteinrich maiz and zincrich wheat,0.5574,Positive,Others,fund
223,2013-2014 Month-02,P. Chidambaram,provid upto 200 start the pilot,0.0,Neutral,Others,servic
224,2013-2014 Month-02,P. Chidambaram,ministri agricultur will formul scheme and hope that agri busi and farmer will come togeth start suffici number pilot the district most affect malnutrit,0.4939,Positive,Others,growth
226,2013-2014 Month-02,P. Chidambaram,the institut biotic stress manag for address plant protect issu will establish raipur chhattisgarh,-0.0516,Negative,Others,custom
227,2013-2014 Month-02,P. Chidambaram,the indian institut agricultur biotechnolog will establish ranchi jharkhand and will serv centr excel agricultur biotechnolog,0.4588,Positive,Others,increa
229,2013-2014 Month-02,P. Chidambaram,pilot scheme replant and rejuven coconut garden that was implement some district kerala and the andaman nicobar island will extend the entir state kerala and provid addit 201314,0.1779,Positive,Others,provid
230,2013-2014 Month-02,P. Chidambaram,farmer produc organ,0.0,Neutral,Others,provid
231,2013-2014 Month-02,P. Chidambaram,farmer produc organ fpo includ farmer produc compani fpc have emerg aggreg farm produc and link farmer direct market,0.0,Neutral,Others,scheme
232,2013-2014 Month-02,P. Chidambaram,signal our support them intend provid match equiti grant regist fpos upto maximum per fpo enabl them leverag work capit from institut,0.6369,Positive,Others,scheme
233,2013-2014 Month-02,P. Chidambaram,provid for this purpo,0.0,Neutral,Others,develop
234,2013-2014 Month-02,P. Chidambaram,besid credit guarant fund will also creat the small farmersagri busi corpor with initi corpus 100,0.3818,Positive,Others,fund
235,2013-2014 Month-02,P. Chidambaram,urg state support such fpos through necessari amend the apmc act and other way,0.4019,Positive,Others,develop
236,2013-2014 Month-02,P. Chidambaram,livestock mission,0.0,Neutral,Others,develop
237,2013-2014 Month-02,P. Chidambaram,the livestock mission will launch 201314 attract invest and enhanc product take into account local agroclimat condit,0.3612,Positive,Agriculture,provid
238,2013-2014 Month-02,P. Chidambaram,provid 307 for the mission,0.0,Neutral,Others,provid
239,2013-2014 Month-02,P. Chidambaram,there will sub mission for increa the avail feed and fodder,0.0,Neutral,Others,bank
240,2013-2014 Month-02,P. Chidambaram,food secur,0.0,Neutral,Others,increa
241,2013-2014 Month-02,P. Chidambaram,food secur much basic human right the right educ the right health care,0.4939,Positive,Social,develop
242,2013-2014 Month-02,P. Chidambaram,the food secur bill promi the upa,0.0,Neutral,Others,develop
243,2013-2014 Month-02,P. Chidambaram,sincer hope that parliament will pass the bill ear possibl,0.4404,Positive,Others,provid
244,2013-2014 Month-02,P. Chidambaram,honbl member will happi know that have set apart 10000 over and abov the normal provi for food subsidi toward the increment cost that like under the act,0.3612,Positive,Others,provid
246,2013-2014 Month-02,P. Chidambaram,invest infrastructur and industri,0.0,Neutral,Others,provid
247,2013-2014 Month-02,P. Chidambaram,the growth economi correl with the invest,0.3818,Positive,Agriculture,increa
248,2013-2014 Month-02,P. Chidambaram,the key restart the growth engin attract more invest both from domest investor and foreign investor,0.6249,Positive,Agriculture,provid
249,2013-2014 Month-02,P. Chidambaram,invest act faith,0.4215,Positive,Others,provid
250,2013-2014 Month-02,P. Chidambaram,will improv communic our polici remov ani apprehen distrust the mind investor includ fear about undu regulatori burden applic tax law,-0.836,Negative,Others,provid
251,2013-2014 Month-02,P. Chidambaram,busi must seen easi friend and mutual benefici,0.4939,Positive,Others,servic
253,2013-2014 Month-02,P. Chidambaram,while everi can absorb new invest the infrastructur that need larg volum invest,0.0,Neutral,Others,develop
254,2013-2014 Month-02,P. Chidambaram,the 12th plan project invest usd trillion 5500000 infrastructur,0.0,Neutral,Others,bank
255,2013-2014 Month-02,P. Chidambaram,the plan envisag that the privat will share the invest,0.296,Positive,Others,bank
256,2013-2014 Month-02,P. Chidambaram,besid need new and innov instrument mobili fund for this order invest,0.0,Neutral,Others,servic
257,2013-2014 Month-02,P. Chidambaram,has taken will take the follow measur increa invest infrastructur,0.0,Neutral,Others,servic
258,2013-2014 Month-02,P. Chidambaram,infrastructur debt fund idf will encourag,-0.3612,Negative,Others,provid
259,2013-2014 Month-02,P. Chidambaram,these fund will rai resourc and through takeout credit enhanc and other innov mean provid longterm lowcost debt for infrastructur project,0.0258,Neutral,Others,fund
260,2013-2014 Month-02,P. Chidambaram,happi report that four idf have been regist with sebi far and two them were launch the month februari 2013,0.0,Neutral,Others,fund
261,2013-2014 Month-02,P. Chidambaram,infrastructur corpor ltd iifcl partnership with the asian develop bank will offer credit enhanc infrastructur compani that wish access the bond market tap long term fund,0.6486,Positive,Others,fund
263,2013-2014 Month-02,P. Chidambaram,the last two number institut were allow issu tax free bond,0.6705,Positive,Others,hous
264,2013-2014 Month-02,P. Chidambaram,they rai 30000 201112 and are expect rai about 25000 201213,0.0,Neutral,Others,develop
265,2013-2014 Month-02,P. Chidambaram,allow some institut issu tax free bond 201314 strict base need and capac rai money the market upto total 50000,0.6369,Positive,Others,develop
267,2013-2014 Month-02,P. Chidambaram,multilat develop bank are keen assist effort promot region connect,0.3612,Positive,Others,provid
268,2013-2014 Month-02,P. Chidambaram,combin the look east polici and the interest the north eastern state seek the assist the world bank and the asian develop bank build road the north eastern state and connect them myanmar,0.4588,Positive,Others,develop
270,2013-2014 Month-02,P. Chidambaram,nabard oper the rural infrastructur develop fund ridf,0.0,Neutral,Others,hous
271,2013-2014 Month-02,P. Chidambaram,ridf has success utili tranch far,0.5719,Positive,Others,increa
272,2013-2014 Month-02,P. Chidambaram,rai the corpus ridfxix 201314 20000,0.0,Neutral,Others,increa
274,2013-2014 Month-02,P. Chidambaram,pursuant the announc made last 5000 will made avail nabard construct wareh godown silo and cold storag unit design store agricultur produc both the public and the privat,0.0,Neutral,Others,fund
275,2013-2014 Month-02,P. Chidambaram,this window will also through the state construct godown panchayat enabl farmer store their produc,0.0,Neutral,Others,provid
276,2013-2014 Month-02,P. Chidambaram,road construct,0.0,Neutral,Others,hous
277,2013-2014 Month-02,P. Chidambaram,the road construct has reach certain level matur,0.296,Positive,Others,develop
278,2013-2014 Month-02,P. Chidambaram,but face challeng not envisag earlier includ stress enhanc construct risk and contract manag issu that are best address independ author,0.1154,Positive,Others,increa
279,2013-2014 Month-02,P. Chidambaram,henc has decid constitut regulatori author for the road,0.0,Neutral,Others,hous
280,2013-2014 Month-02,P. Chidambaram,bottleneck stall road project have been address and 3000 kms road project gujarat madhya pradesh maharashtra rajasthan and uttar pradesh will award the first six month 201314,0.4019,Positive,Others,hous
281,2013-2014 Month-02,P. Chidambaram,cabinet committ invest,0.0,Neutral,Others,scheme
282,2013-2014 Month-02,P. Chidambaram,reviv invest the industri especi manufactur key challeng,0.0,Neutral,Others,scheme
283,2013-2014 Month-02,P. Chidambaram,mani project are stall becaus they are unabl clear regulatori hurdl,0.2023,Positive,Others,provid
284,2013-2014 Month-02,P. Chidambaram,the cabinet committ invest cci has been set monitor invest well project under implement includ stall project and guid decisionmak order remov bottleneck and quicken the pace implement,0.0772,Positive,Others,scheme
285,2013-2014 Month-02,P. Chidambaram,two meet the cci have been held alreadi and deci were taken respect number oil and gas power and coal project,0.5267,Positive,Others,provid
286,2013-2014 Month-02,P. Chidambaram,cci will take some more project short,0.0,Neutral,Others,increa
287,2013-2014 Month-02,P. Chidambaram,new invest,0.0,Neutral,Others,provid
288,2013-2014 Month-02,P. Chidambaram,attract new invest and quicken the implement project introduc invest allow for new high valu invest,0.5267,Positive,Others,agricultur
289,2013-2014 Month-02,P. Chidambaram,compani invest 100 more plant and machineri dure the period 142013 3132015 will entitl deduct invest allow the invest,0.2263,Positive,Others,growth
290,2013-2014 Month-02,P. Chidambaram,this will addit the current depreci,0.0,Neutral,Others,provid
291,2013-2014 Month-02,P. Chidambaram,there will enorm spillov benefit small and medium enterpri,0.4588,Positive,Others,growth
293,2013-2014 Month-02,P. Chidambaram,the electron polici 2012 intend promot manufactur electron good,0.4404,Positive,Others,provid
294,2013-2014 Month-02,P. Chidambaram,recogni the pivot role semiconductor wafer fab the ecosystem manufactur electron,0.4588,Positive,Others,bank
295,2013-2014 Month-02,P. Chidambaram,provid appropri incent semiconductor wafer fab manufactur facil includ zero custom for plant and machineri,0.4588,Positive,Others,provid
296,2013-2014 Month-02,P. Chidambaram,save,0.4939,Positive,Others,agricultur
297,2013-2014 Month-02,P. Chidambaram,increa save and their optim alloc for product use lead higher econom growth,0.7003,Positive,Agriculture,bank
298,2013-2014 Month-02,P. Chidambaram,after touch high 368 200708 gross domest save fell percentag point 201112,0.0258,Neutral,Agriculture,fund
299,2013-2014 Month-02,P. Chidambaram,the privat compri household and corpor remain the main contributor save,0.4939,Positive,Others,fund
300,2013-2014 Month-02,P. Chidambaram,the household must incentivi save instrument rather than buy gold,0.4939,Positive,Others,fund
301,2013-2014 Month-02,P. Chidambaram,henc the follow measur,0.0,Neutral,Others,provid
302,2013-2014 Month-02,P. Chidambaram,first the rajiv gandhi equiti save scheme will liberali enabl the first time investor invest mutual fund well list share and she can not one alon but three success,0.8519,Positive,Others,fund
303,2013-2014 Month-02,P. Chidambaram,the incom limit will rai from 1000000 1200000,0.0,Neutral,Others,provid
304,2013-2014 Month-02,P. Chidambaram,second person take loan for his first home from bank hous corpor upto 2500000 dure the period 142013 3132014 will entitl addit deduct interest upto 100000,0.4588,Positive,Others,scheme
305,2013-2014 Month-02,P. Chidambaram,this will promot home ownership and give fillip number industri like steel cement brick wood glass etc,0.4215,Positive,Others,scheme
306,2013-2014 Month-02,P. Chidambaram,besid job thousand construct worker,0.0,Neutral,Others,scheme
308,2013-2014 Month-02,P. Chidambaram,third consult with rbi introduc instrument that will protect save from inflat especi the save the poor and middl class,0.7096,Positive,Others,scheme
309,2013-2014 Month-02,P. Chidambaram,these could inflat index bond inflat index secur certif,0.0,Neutral,Others,provid
310,2013-2014 Month-02,P. Chidambaram,the structur and tenor the instrument will announc due cour,0.0,Neutral,Others,scheme
311,2013-2014 Month-02,P. Chidambaram,industri corridor,0.0,Neutral,Others,fund
312,2013-2014 Month-02,P. Chidambaram,the delhi mumbai industri corridor dmic project has made rapid progress,0.4215,Positive,Others,scheme
313,2013-2014 Month-02,P. Chidambaram,plan for seven new citi have been finali and work two new smart industri citi dholera gujarat and shendra bidkin maharashtra will start dure 201314,0.4019,Positive,Others,develop
314,2013-2014 Month-02,P. Chidambaram,acknowledg the support the japan,0.4019,Positive,Others,develop
315,2013-2014 Month-02,P. Chidambaram,order dispel ani doubt about fund wish make clear that shall provid requir addit fund dure 201314 within the share the the over outlay for the project,0.6124,Positive,Others,develop
317,2013-2014 Month-02,P. Chidambaram,the depart industri polici and promot dipp and the japan intern cooper agenc jica are current prepar comprehen plan for the chennai bengaluru industri corridor,0.0,Neutral,Others,growth
318,2013-2014 Month-02,P. Chidambaram,the corridor will develop collabor with the tamil nadu andhra pradesh and karnataka,0.0,Neutral,Others,provid
